image_id,query_index,method,success,expanded_nodes,off_reference_r0,routeconform_0.05_r0,off_reference_r1,routeconform_0.05_r1,off_reference_r2,routeconform_0.05_r2,off_reference_r3,routeconform_0.05_r3
12328750_15,105,Topology+Risk A*,1,28474,0.004901960784313708,1,0.0,1,0.0,1,0.0,1
12328750_15,106,Soft-probability A*,1,32863,0.004587155963302725,1,0.0018348623853210455,1,0.0,1,0.0,1
12328750_15,106,Topology+Risk A*,1,45900,0.0018298261665141702,1,0.0,1,0.0,1,0.0,1
12328750_15,107,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
12328750_15,107,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
12328750_15,108,Soft-probability A*,1,68076,0.03762376237623766,1,0.020297029702970315,1,0.011386138613861396,1,0.001980198019801982,1
12328750_15,108,Topology+Risk A*,1,84916,0.026627218934911268,1,0.017751479289940808,1,0.007396449704141994,1,0.0014792899408283544,1
12328750_15,109,Soft-probability A*,1,95326,0.058561070831009476,0,0.036809815950920255,1,0.02175125488008922,1,0.003346346904629094,1
12328750_15,109,Topology+Risk A*,1,108133,0.050331858407079655,0,0.02488938053097345,1,0.00829646017699115,1,0.0016592920353982743,1
12328750_15,110,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
12328750_15,110,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
12328750_15,111,Soft-probability A*,1,9165,0.00302571860816947,1,0.0,1,0.0,1,0.0,1
12328750_15,111,Topology+Risk A*,1,13065,0.0015082956259426794,1,0.0,1,0.0,1,0.0,1
12328750_15,112,Soft-probability A*,1,49853,0.042713567839196,1,0.02638190954773867,1,0.014447236180904488,1,0.002512562814070307,1
12328750_15,112,Topology+Risk A*,1,57661,0.03443957420162802,1,0.023168440826549785,1,0.00939261114589851,1,0.0018785222291797243,1
12328750_15,113,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
12328750_15,113,Topology+Risk A*,1,126152,0.04384896467722288,1,0.018270401948842885,1,0.006090133982947665,1,0.0012180267965895553,1
12328750_15,114,Soft-probability A*,1,31011,0.017263427109974416,1,0.0038363171355498826,1,0.0012787723785165905,1,0.0,1
12328750_15,114,Topology+Risk A*,1,33457,0.004458598726114649,1,0.0019108280254777066,1,0.0,1,0.0,1
12328750_15,115,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
12328750_15,115,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
12328750_15,116,Soft-probability A*,1,65228,0.019023136246786643,1,0.0035989717223650075,1,0.0,1,0.0,1
12328750_15,116,Topology+Risk A*,1,81359,0.020523345305284768,1,0.0030785017957927208,1,0.0,1,0.0,1
12328750_15,117,Soft-probability A*,1,40889,0.010152284263959421,1,0.0006345177664974777,1,0.0,1,0.0,1
12328750_15,117,Topology+Risk A*,1,43296,0.0012642225031606058,1,0.0,1,0.0,1,0.0,1
12328750_15,118,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
12328750_15,118,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
12328750_15,119,Soft-probability A*,1,73660,0.001828153564899404,1,0.0006093845216331717,1,0.0,1,0.0,1
12328750_15,119,Topology+Risk A*,1,88210,0.0012165450121655041,1,0.0,1,0.0,1,0.0,1
15928855_15,120,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
15928855_15,120,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
15928855_15,121,Soft-probability A*,1,4292,0.018867924528301883,1,0.0,1,0.0,1,0.0,1
15928855_15,121,Topology+Risk A*,1,4848,0.0,1,0.0,1,0.0,1,0.0,1
15928855_15,122,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
15928855_15,122,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
15928855_15,123,Soft-probability A*,1,10861,0.007005253940455369,1,0.0,1,0.0,1,0.0,1
15928855_15,123,Topology+Risk A*,1,10276,0.0,1,0.0,1,0.0,1,0.0,1
15928855_15,124,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
15928855_15,124,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
15928855_15,125,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
15928855_15,125,Topology+Risk A*,1,7084,0.05555555555555558,0,0.00347222222222221,1,0.0,1,0.0,1
15928855_15,126,Soft-probability A*,1,21932,0.04503676470588236,1,0.0009191176470588758,1,0.0,1,0.0,1
15928855_15,126,Topology+Risk A*,1,21252,0.01466544454628782,1,0.0009165902841430373,1,0.0,1,0.0,1
15928855_15,127,Soft-probability A*,1,19336,0.047388781431334626,1,0.0009671179883945502,1,0.0,1,0.0,1
15928855_15,127,Topology+Risk A*,1,20452,0.015429122468659573,1,0.0009643201542912649,1,0.0,1,0.0,1
15928855_15,128,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
15928855_15,128,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
15928855_15,129,Soft-probability A*,1,17874,0.032258064516129004,1,0.0,1,0.0,1,0.0,1
15928855_15,129,Topology+Risk A*,1,18117,0.0,1,0.0,1,0.0,1,0.0,1
15928855_15,130,Soft-probability A*,1,17658,0.05861244019138756,0,0.0011961722488038617,1,0.0,1,0.0,1
15928855_15,130,Topology+Risk A*,1,17295,0.01904761904761909,1,0.0011904761904761862,1,0.0,1,0.0,1
15928855_15,131,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
