image_id,query_index,distance_class,variant,mask,score,boundary,success,off_road_ratio,path_length,expanded_nodes,planning_time_ms,safe_success_0.01,safe_success_0.05,safe_success_0.10
10828720_15,24,short,repaired+p+boundary_on,repaired,p,1,1,0.025787965616045794,387.7645019878177,11782,322.5078000000039,0,1,1
10828720_15,24,short,repaired+q+boundary_off,repaired,q,0,1,0.04597701149425293,387.1787155501908,9632,233.67449999999934,0,1,1
10828720_15,24,short,repaired+q+boundary_on,repaired,q,1,1,0.025787965616045794,387.7645019878177,11312,320.628499999998,0,1,1
10828720_15,25,short,original+p+boundary_off,original,p,0,1,0.03512014787430684,605.0315292925773,25386,641.0391000000004,0,1,1
10828720_15,25,short,original+p+boundary_on,original,p,1,1,0.020295202952029467,606.4457428549504,27969,748.2049000000046,0,1,1
10828720_15,25,short,original+q+boundary_off,original,q,0,1,0.029520295202952074,605.6173157302042,27187,694.5434000000006,0,1,1
10828720_15,25,short,original+q+boundary_on,original,q,1,1,0.020295202952029467,606.4457428549504,28691,755.2464999999984,0,1,1
10828720_15,25,short,repaired+p+boundary_off,repaired,p,0,1,0.03512014787430684,605.0315292925773,27408,677.0393000000041,0,1,1
10828720_15,25,short,repaired+p+boundary_on,repaired,p,1,1,0.020295202952029467,606.4457428549504,30365,783.4434999999971,0,1,1
10828720_15,25,short,repaired+q+boundary_off,repaired,q,0,1,0.029520295202952074,605.6173157302042,29313,723.2698999999982,0,1,1
10828720_15,25,short,repaired+q+boundary_on,repaired,q,1,1,0.020295202952029467,606.4457428549504,31077,798.7678999999944,0,1,1
10828720_15,26,medium,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10828720_15,26,medium,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10828720_15,26,medium,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10828720_15,26,medium,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10828720_15,26,medium,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10828720_15,26,medium,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10828720_15,26,medium,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10828720_15,26,medium,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10828720_15,27,medium,original+p+boundary_off,original,p,0,1,0.006925207756232732,813.3696244092023,36827,934.3027999999975,1,1,1
10828720_15,27,medium,original+p+boundary_on,original,p,1,1,0.004149377593360981,816.4406922210678,43156,1164.2533999999998,1,1,1
10828720_15,27,medium,original+q+boundary_off,original,q,0,1,0.0055172413793103114,816.7838379715754,36007,898.3316000000059,1,1,1
10828720_15,27,medium,original+q+boundary_on,original,q,1,1,0.004137931034482789,817.6122650963216,42404,1133.099599999994,1,1,1
10828720_15,27,medium,repaired+p+boundary_off,repaired,p,0,1,0.006925207756232732,813.3696244092023,37549,916.8281999999977,1,1,1
10828720_15,27,medium,repaired+p+boundary_on,repaired,p,1,1,0.004149377593360981,816.4406922210678,45459,1193.8898000000008,1,1,1
10828720_15,27,medium,repaired+q+boundary_off,repaired,q,0,1,0.0055172413793103114,816.7838379715754,36654,914.3691999999959,1,1,1
10828720_15,27,medium,repaired+q+boundary_on,repaired,q,1,1,0.004137931034482789,817.6122650963216,44424,1215.2871000000048,1,1,1
10828720_15,28,medium,original+p+boundary_off,original,p,0,1,0.005662514156285381,1001.2935059634542,28529,664.8380000000031,1,1,1
10828720_15,28,medium,original+p+boundary_on,original,p,1,1,0.006795016987542479,1001.2935059634542,40502,1082.9240999999997,1,1,1
10828720_15,28,medium,original+q+boundary_off,original,q,0,1,0.013590033975084959,1001.2935059634542,29300,716.2545999999992,0,1,1
10828720_15,28,medium,original+q+boundary_on,original,q,1,1,0.007927519818799578,1001.2935059634542,40678,1077.7652000000016,1,1,1
10828720_15,28,medium,repaired+p+boundary_off,repaired,p,0,1,0.005662514156285381,1001.2935059634542,29345,704.2773000000011,1,1,1
10828720_15,28,medium,repaired+p+boundary_on,repaired,p,1,1,0.006795016987542479,1001.2935059634542,42447,1079.1375000000016,1,1,1
10828720_15,28,medium,repaired+q+boundary_off,repaired,q,0,1,0.013590033975084959,1001.2935059634542,30375,726.9232000000017,0,1,1
10828720_15,28,medium,repaired+q+boundary_on,repaired,q,1,1,0.007927519818799578,1001.2935059634542,42721,1114.248400000001,1,1,1
10828720_15,29,medium,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10828720_15,29,medium,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10828720_15,29,medium,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10828720_15,29,medium,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10828720_15,29,medium,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10828720_15,29,medium,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10828720_15,29,medium,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10828720_15,29,medium,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10828720_15,30,medium,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10828720_15,30,medium,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10828720_15,30,medium,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10828720_15,30,medium,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
